,gameResult,TOP,JUNGLE,MIDDLE,BOTTOM,SUPPORT
71,0,1.96,2.26,3.11,1.78,3.23
72,0,3.11,2.15,2.26,1.35,1.51
73,1,3.11,2.95,1.73,2.16,1.89
74,1,2.26,2.95,3.11,2.53,4.28
75,1,1.99,2.95,3.11,2.06,1.87
76,0,2.03,1.64,3.11,3.78,3.00
77,1,2.03,2.21,1.50,2.69,3.11
78,0,3.11,2.03,1.63,1.66,1.78
79,1,2.69,4.00,3.11,2.14,2.23
80,0,1.45,0.82,1.47,3.01,4.65
81,0,0.93,2.86,2.19,2.14,4.65
82,1,1.71,2.00,2.79,1.52,4.65
83,1,1.89,2.72,2.17,1.75,4.65
84,0,0.54,2.07,2.85,1.07,4.65
85,0,1.48,1.05,1.24,2.19,4.65
86,0,1.61,2.09,2.55,3.24,4.65
87,0,2.22,3.16,2.54,2.75,4.65
88,0,2.14,1.63,3.00,1.74,4.65
89,1,1.69,1.12,3.75,1.68,4.65
90,1,1.71,1.87,2.03,2.71,4.65
91,0,2.37,1.64,3.24,2.49,4.65
92,0,1.68,3.63,1.23,2.28,4.65
93,0,1.52,2.19,1.37,3.01,4.65
94,1,1.89,2.35,3.69,2.51,4.65
95,1,2.83,3.28,2.04,2.09,4.65
96,1,1.92,2.32,14.28,1.88,4.65
97,0,1.24,2.17,2.08,1.80,4.65
98,1,1.51,1.88,2.60,2.28,1.18
99,0,1.51,1.27,2.98,2.78,1.18
100,1,1.51,0.96,2.86,2.01,1.18
101,0,1.12,1.89,1.18,2.41,1.51
102,0,3.46,2.78,2.07,1.18,1.51
103,0,1.96,2.88,1.58,1.18,1.51
104,0,2.09,2.09,1.87,1.18,1.51
105,1,1.51,2.68,3.01,2.74,1.95
106,1,1.97,1.51,1.95,2.03,3.18
107,0,1.51,2.41,1.58,2.35,2.21
108,1,1.51,4.28,3.15,2.34,3.08
109,0,1.51,2.18,3.18,3.01,2.52
110,0,1.51,2.32,2.31,2.08,2.10
111,1,1.51,4.01,1.97,2.59,2.48
112,0,1.51,3.33,5.88,2.93,1.62
113,0,1.73,2.66,1.74,1.97,1.51
114,0,1.51,2.09,2.66,2.73,2.76
115,1,1.51,2.50,2.86,2.77,2.93
116,1,1.51,1.81,4.06,3.05,1.78
117,1,1.51,2.76,2.10,3.57,2.38
118,1,3.43,2.32,2.24,2.87,2.41
119,1,1.53,2.96,2.29,3.43,2.23
120,0,1.53,1.59,3.43,2.55,2.23
121,0,3.43,2.52,2.20,2.73,2.23
122,0,2.98,1.86,1.08,1.93,3.43
123,1,1.85,5.17,3.59,1.93,3.43
124,0,1.86,2.72,1.76,1.26,3.43
125,1,2.42,1.62,2.69,1.89,3.43
126,0,3.43,2.09,2.01,3.09,2.76
127,1,3.43,2.86,1.36,2.81,2.56
128,1,3.88,1.18,3.43,1.48,2.38
129,0,2.16,3.43,1.95,3.22,1.93
130,1,3.43,2.68,2.16,3.40,2.75
131,1,3.43,2.32,3.17,1.83,2.75
132,1,3.43,2.23,2.12,2.30,2.78
133,1,3.43,1.80,1.71,2.20,2.99
134,1,3.23,3.43,2.15,2.48,3.06
135,0,1.27,3.43,2.11,2.27,2.72
136,1,3.43,2.24,1.94,3.54,2.27
137,0,1.27,1.64,2.03,2.79,3.43
138,1,1.74,2.15,3.18,1.94,2.88
139,1,2.03,1.49,2.10,1.94,2.85
140,0,2.66,1.50,3.96,1.94,2.47
141,1,1.74,1.52,2.26,1.94,2.47
142,1,3.07,2.82,2.51,1.94,2.47
143,1,2.82,3.00,3.87,1.94,2.47
144,0,2.47,1.61,2.62,1.94,1.15
145,1,2.44,1.68,3.09,1.94,2.47
146,1,0.75,1.60,2.91,1.94,2.47
147,0,1.87,1.77,2.39,1.94,2.47
148,1,4.67,1.69,3.01,1.94,2.47
149,0,2.76,1.80,2.34,1.94,2.47
150,0,1.78,2.10,2.11,1.94,2.47
151,0,1.50,2.89,2.54,1.94,2.47
152,1,1.90,1.81,1.72,1.94,2.47
153,1,2.21,4.37,2.40,1.94,2.47
154,0,2.04,3.05,3.23,1.94,2.47
155,0,2.44,1.57,2.29,1.94,2.47
156,0,1.65,0.53,2.25,1.94,1.94
157,1,2.49,4.06,2.07,1.86,2.03
158,0,1.53,2.26,1.76,2.16,2.49
159,0,2.49,1.85,2.92,2.76,2.17
160,0,2.49,2.95,2.59,2.36,2.44
161,0,3.43,2.03,3.49,2.50,2.49
162,1,2.49,1.85,2.96,1.88,3.91
163,1,2.49,1.85,2.43,1.97,2.73
164,1,2.49,1.85,1.50,3.42,2.18
165,1,2.49,2.02,2.63,3.52,2.48
166,1,2.49,1.36,1.85,1.42,1.55
167,1,1.89,2.49,2.60,3.58,2.88
168,1,2.49,2.43,2.60,1.22,3.82
169,1,1.85,1.51,2.49,2.29,2.23
170,0,2.49,2.30,2.93,3.91,1.47
171,1,2.49,2.11,1.81,3.01,2.44
172,0,2.49,2.46,2.09,3.40,2.28
173,1,2.21,1.58,2.51,2.49,1.90
174,1,2.49,2.67,1.30,2.00,2.41
175,1,1.30,3.41,2.49,1.95,2.93
176,1,2.49,3.77,1.95,2.78,2.16
177,1,3.22,2.23,2.33,2.74,2.79
178,1,2.51,2.23,1.31,2.58,3.14
179,0,2.50,2.23,2.92,1.97,4.13
180,0,1.34,2.23,1.42,1.74,1.85
181,0,3.16,2.23,2.92,1.58,1.13
182,0,2.62,2.23,2.13,1.48,2.49
183,1,2.63,2.23,2.16,2.41,1.54
184,1,3.11,2.23,2.59,2.07,1.64
185,0,2.77,2.23,3.10,2.27,3.10
186,0,3.91,2.23,1.55,2.88,2.61
187,0,2.15,2.23,2.71,3.74,2.09
188,0,1.96,2.23,5.35,2.64,1.61
189,1,2.25,2.23,3.52,2.71,3.37
190,1,2.32,2.23,1.83,2.73,2.18
191,1,2.49,2.23,2.45,2.02,2.75
192,0,2.28,2.03,2.37,2.48,2.23
193,0,1.80,2.23,2.76,3.69,4.72
194,0,2.54,2.23,2.84,3.38,2.54
195,0,1.65,2.23,2.72,1.97,2.96
196,0,1.30,2.23,1.85,2.18,2.50
197,1,1.95,1.88,3.40,2.46,1.82
198,0,3.68,2.46,3.40,2.53,2.46
199,1,1.32,2.46,3.40,2.53,2.46
200,1,1.89,4.82,3.40,2.30,2.46
201,1,3.40,1.97,3.04,2.93,2.46
202,1,2.85,2.33,3.40,2.98,2.46
203,0,2.36,1.58,3.40,2.25,2.46
204,1,2.33,2.18,3.40,2.40,2.46
205,0,1.91,3.10,3.84,2.46,3.40
206,1,2.01,2.66,2.32,2.46,3.40
207,0,2.06,1.78,2.46,1.68,3.40
208,1,3.14,2.33,2.46,2.94,3.40
209,0,0.85,2.12,1.83,2.07,2.46
210,0,2.76,2.29,2.20,2.71,2.46
211,0,2.44,0.26,3.46,2.16,2.46
212,0,1.87,3.45,3.17,2.46,2.44
213,1,3.59,1.74,2.82,2.46,2.44
214,1,1.84,2.32,3.40,2.46,2.86
215,1,2.62,2.47,3.40,2.46,3.07
216,0,2.01,1.05,2.32,1.73,1.70
217,0,1.47,3.21,1.32,1.73,3.37
218,1,2.53,2.08,1.59,1.73,1.76
219,0,1.73,1.88,2.35,2.56,1.90
220,1,1.73,1.77,2.98,3.19,2.14
221,0,1.73,1.60,1.71,2.67,2.70
222,0,1.73,2.39,2.63,2.48,3.40
223,0,1.73,2.16,2.06,1.30,1.55
224,0,1.73,1.88,1.87,2.39,1.82
225,1,1.73,3.43,2.11,2.42,2.36
226,0,1.73,2.33,2.81,2.86,2.14
227,0,1.73,2.70,3.05,1.73,2.92
228,0,1.77,3.38,1.73,1.92,1.56
229,1,1.73,1.99,3.26,3.13,2.56
230,1,1.73,3.54,2.83,2.28,2.18
231,0,1.73,3.88,1.74,2.14,1.82
232,1,1.73,3.09,1.68,2.09,1.53
233,1,1.73,3.63,2.02,2.38,1.73
234,0,1.73,2.08,1.91,2.67,1.70
235,0,1.73,2.13,2.66,1.75,2.15
236,1,2.12,2.07,2.29,3.32,2.96
237,0,3.46,2.78,2.07,1.18,1.51
238,1,2.49,4.06,2.07,1.86,2.03
239,0,0.85,2.12,1.83,2.07,2.46
240,1,3.11,2.23,2.59,2.07,1.64
241,0,1.87,3.81,2.74,2.07,2.22
242,1,3.97,2.95,2.62,2.07,2.26
243,0,1.89,2.20,3.16,2.07,2.17
244,1,1.88,2.15,1.73,2.07,1.49
245,0,1.96,2.13,3.02,2.07,2.74
246,1,3.57,1.27,2.80,2.07,3.38
247,0,2.01,2.43,1.83,2.07,3.06
248,1,2.23,3.59,2.18,2.07,3.19
249,0,1.54,1.66,2.77,2.07,3.19
250,1,1.75,2.19,2.39,2.07,5.42
251,0,1.86,2.99,2.07,2.83,2.00
252,1,1.92,2.15,2.07,1.91,2.65
253,0,2.07,1.71,2.08,2.21,2.76
254,1,1.44,2.38,1.56,2.07,1.76
255,0,1.37,1.14,1.22,2.69,1.48
256,0,1.14,1.98,2.68,3.53,2.03
257,0,1.14,1.48,1.78,2.03,2.39
258,1,1.14,3.36,2.21,1.70,1.38
259,0,1.14,6.96,2.46,2.46,2.67
260,1,1.14,1.92,3.19,1.62,3.56
261,0,1.14,2.10,1.57,2.91,1.57
262,0,1.14,2.45,1.58,2.39,2.01
263,0,1.14,1.21,1.34,1.60,2.89
264,0,2.35,0.28,2.11,3.07,1.14
265,0,1.14,2.53,1.14,4.03,3.38
266,1,1.14,2.15,2.06,1.86,1.99
267,0,2.67,2.04,2.34,1.94,1.14
268,0,1.14,1.10,2.09,1.90,2.63
269,1,2.17,1.87,2.73,3.37,1.14
270,0,1.14,2.29,2.48,2.54,2.63
271,1,1.14,2.58,1.89,2.24,2.29
272,0,1.14,1.48,2.82,2.10,3.08
273,0,1.14,1.93,1.27,1.51,2.20
274,1,1.14,3.15,3.93,1.62,3.12
275,0,2.21,1.13,2.72,2.36,1.95
276,1,2.82,1.09,3.12,1.73,1.95
277,0,1.96,2.43,1.95,2.67,1.81
278,0,2.17,1.95,2.17,1.38,2.05
279,1,1.95,2.08,1.60,2.81,3.60
280,1,2.85,1.95,2.22,2.06,3.55
281,0,2.16,3.43,1.95,3.15,1.93
282,1,2.30,1.79,1.95,7.59,2.03
283,0,3.07,2.51,1.95,2.34,3.39
284,0,2.52,1.72,1.95,1.58,1.67
285,0,3.10,2.39,1.95,3.38,1.88
286,1,1.61,3.17,1.95,2.32,1.80
287,1,2.12,3.61,2.51,2.57,1.95
288,0,2.47,2.62,1.95,2.72,2.08
289,0,2.15,1.41,1.95,2.59,2.07
290,1,3.33,2.11,1.95,1.89,2.47
291,0,1.07,2.82,1.95,2.55,1.73
292,0,3.60,2.43,1.95,2.83,2.28
293,1,1.78,1.76,1.95,2.33,1.23
294,0,2.68,1.95,3.33,1.99,2.47
295,0,1.41,3.28,2.59,2.69,1.62
296,0,1.89,2.26,2.59,2.05,1.98
297,0,3.11,2.56,2.59,1.72,1.72
298,1,1.98,2.78,2.59,2.10,3.11
299,1,3.11,2.43,2.59,1.77,1.91
300,1,3.11,2.23,2.59,2.07,1.64
301,0,3.11,1.75,2.59,3.01,2.06
302,1,3.11,3.38,2.59,2.60,3.59
303,0,1.45,0.67,2.29,2.70,2.28
304,1,1.84,1.74,2.29,4.48,5.11
305,1,2.04,1.80,2.29,2.13,1.26
306,1,2.06,2.04,2.29,3.59,3.12
307,0,2.36,2.00,2.12,2.29,2.71
308,0,1.29,2.29,1.19,2.15,2.19
309,0,2.29,2.31,3.24,4.27,4.01
310,0,2.29,3.53,3.41,1.95,2.72
311,0,2.12,1.94,2.29,2.14,1.68
312,1,2.12,2.07,2.29,3.32,2.96
313,1,2.83,2.29,2.12,0.96,1.97
314,0,1.63,2.29,2.12,2.73,2.78
315,0,1.87,2.97,2.88,2.91,2.29
316,1,2.25,1.50,2.37,2.92,2.29
317,1,1.97,2.29,1.93,2.22,2.01
318,0,2.60,4.16,2.29,2.51,2.12
319,1,2.12,3.10,2.29,3.43,2.92
320,1,1.71,2.54,2.29,2.12,2.14
321,0,2.12,1.82,2.29,1.84,2.82
322,1,1.54,2.29,2.83,3.11,1.76
323,1,1.77,2.28,2.20,2.47,2.85
324,0,2.66,1.50,3.96,1.94,2.47
325,1,1.74,1.52,2.26,1.94,2.47
326,1,3.07,2.82,2.51,1.94,2.47
327,1,2.82,3.00,3.87,1.94,2.47
328,1,2.44,1.68,3.09,1.94,2.47
329,1,0.75,1.60,2.91,1.94,2.47
330,0,1.87,1.77,2.39,1.94,2.47
331,1,4.67,1.69,3.01,1.94,2.47
332,0,2.76,1.80,2.34,1.94,2.47
333,0,1.78,2.10,2.11,1.94,2.47
334,0,1.50,2.89,2.54,1.94,2.47
335,1,1.90,1.81,1.72,1.94,2.47
336,1,2.21,4.37,2.40,1.94,2.47
337,0,2.04,3.05,3.23,1.94,2.47
338,0,2.44,1.57,2.29,1.94,2.47
339,0,2.32,2.48,1.72,1.94,2.47
340,1,1.61,2.96,2.56,1.94,2.47
341,1,2.45,2.41,2.32,1.94,2.47
342,0,2.95,2.33,2.06,2.56,1.76
343,1,1.87,2.33,1.67,2.60,1.96
344,0,1.38,2.07,2.33,1.74,1.76
345,1,0.99,2.36,2.33,2.55,3.07
346,0,2.06,1.18,2.16,2.60,2.33
347,1,2.87,2.81,2.33,1.90,2.97
348,1,1.03,1.86,2.33,2.24,4.05
349,1,2.18,2.12,2.46,2.02,2.33
350,1,2.26,2.28,2.33,1.59,1.94
351,1,2.02,1.83,2.33,2.76,2.22
352,0,1.73,2.33,2.81,2.86,2.14
353,1,2.16,2.33,2.81,2.52,3.65
354,0,0.62,0.50,2.03,2.81,2.33
355,0,1.30,4.48,2.33,2.81,2.11
356,0,1.86,2.33,1.54,2.81,2.65
357,0,2.25,2.81,2.33,2.20,3.42
358,1,3.17,2.88,2.33,2.81,2.62
359,0,1.80,2.33,2.53,2.81,1.82
360,1,1.50,2.50,2.33,1.46,2.40
361,0,1.85,1.33,2.23,2.24,2.18
362,1,2.85,2.43,2.54,1.85,2.17
363,1,1.85,4.02,2.60,2.54,2.80
364,1,2.14,2.03,1.98,1.85,2.89
365,0,1.85,1.60,2.81,2.57,2.60
366,0,1.93,2.10,1.85,3.26,1.50
367,0,2.26,2.46,1.46,1.85,2.64
368,1,2.26,3.25,1.83,1.85,2.60
369,0,1.85,1.64,2.26,2.55,2.19
370,0,1.85,1.89,2.00,3.10,1.66
371,0,1.85,2.41,1.89,1.88,2.24
372,0,1.85,1.47,1.94,2.52,2.81
373,0,1.85,3.27,1.91,2.06,3.06
374,0,1.60,2.23,1.99,1.85,4.00
375,0,1.85,2.70,2.91,2.76,3.10
376,0,1.85,3.61,1.31,3.08,2.28
377,1,1.85,1.85,2.42,1.63,4.65
378,1,2.46,1.90,3.25,1.85,2.17
379,0,1.85,4.41,2.54,2.32,2.46
380,0,1.85,2.40,2.23,2.06,2.68
381,1,1.68,2.40,2.26,4.06,2.46
382,1,2.24,2.65,1.89,4.06,4.60
383,1,3.16,2.82,2.39,4.06,2.91
384,1,2.48,1.99,1.70,4.06,3.59
385,0,3.55,1.66,2.19,4.06,2.00
386,1,2.54,2.06,4.14,4.06,3.28
387,1,2.86,3.85,0.89,4.06,2.22
388,0,2.76,3.37,2.75,4.06,1.60
389,1,2.35,0.98,2.13,4.06,2.06
390,1,1.64,1.95,2.99,4.06,2.84
391,1,1.23,5.98,2.64,4.06,1.95
392,0,1.72,2.86,2.33,4.06,1.60
393,1,1.94,3.25,2.31,4.06,1.20
394,1,2.25,2.83,2.05,4.06,2.54
395,1,1.28,2.47,2.24,4.06,1.15
396,1,1.52,2.15,1.76,4.06,1.98
397,1,2.08,2.14,1.82,4.06,3.20
398,1,2.32,1.68,1.65,4.06,1.67
399,0,1.44,0.94,3.15,4.06,3.76
400,0,1.81,1.54,1.80,1.92,1.21
401,0,1.81,2.75,1.21,1.80,3.29
402,0,1.81,1.95,2.58,3.12,1.21
403,0,1.81,1.65,2.33,2.83,1.21
404,1,1.50,2.17,1.81,3.44,1.21
405,0,1.14,1.21,1.34,1.60,2.89
406,0,1.21,1.77,1.39,2.44,2.29
407,0,3.05,2.32,1.21,2.89,3.35
408,1,2.24,1.48,1.21,2.30,3.64
409,1,1.98,2.90,5.36,2.73,1.21
410,0,1.40,3.07,2.98,1.63,1.21
411,0,2.30,2.97,2.77,1.96,1.21
412,0,1.21,1.79,1.81,3.10,1.69
413,0,1.81,2.15,1.21,2.45,2.07
414,0,1.81,1.21,1.64,2.22,1.64
415,1,3.33,1.21,3.35,2.11,2.43
416,0,2.37,1.21,2.79,2.63,1.73
417,0,1.21,2.47,2.02,2.37,3.26
418,0,2.00,1.87,1.21,2.02,2.26
419,0,2.64,2.69,2.50,3.15,0.68
420,0,1.84,1.68,3.15,2.69,3.27
421,0,2.07,2.21,1.55,3.15,2.60
422,1,2.33,2.81,1.80,3.15,3.09
423,1,4.20,1.99,1.65,3.15,1.93
424,1,1.97,2.00,3.55,3.15,1.93
425,1,2.04,1.98,1.65,3.15,1.93
426,1,1.72,2.20,2.68,3.15,1.93
427,0,2.16,3.43,1.95,3.15,1.93
428,1,1.93,2.50,3.15,2.74,1.82
429,0,1.93,2.31,3.15,2.52,1.95
430,1,2.82,3.01,2.29,3.15,2.87
431,1,3.00,3.15,2.69,1.73,2.51
432,1,5.09,2.83,2.69,3.15,4.44
433,1,2.67,2.94,2.69,3.15,4.53
434,0,3.56,2.35,2.22,3.15,2.69
435,0,3.60,2.83,3.15,2.69,2.17
436,1,1.70,2.88,3.15,2.69,2.09
437,0,2.69,1.83,1.97,3.15,1.10
438,1,2.69,2.65,3.15,2.05,2.27
439,0,1.73,2.33,2.81,2.86,2.14
440,1,2.16,2.33,2.81,2.52,3.65
441,0,0.62,0.50,2.03,2.81,2.33
442,0,1.30,4.48,2.33,2.81,2.11
443,0,1.86,2.33,1.54,2.81,2.65
444,0,2.25,2.81,2.33,2.20,3.42
445,1,3.17,2.88,2.33,2.81,2.62
446,0,1.80,2.33,2.53,2.81,1.82
447,0,2.28,1.56,2.33,2.81,2.25
448,0,2.26,2.33,2.81,2.92,1.99
449,0,1.46,2.60,2.33,2.81,0.82
450,1,1.49,3.12,2.33,2.81,1.93
451,0,2.11,2.59,2.33,2.81,2.67
452,1,1.60,2.33,2.74,2.81,1.27
453,0,2.99,3.49,2.33,2.81,2.86
454,1,1.73,2.33,1.45,2.81,2.16
455,1,2.42,2.39,2.33,2.81,2.01
456,1,1.50,0.70,2.33,2.81,2.41
457,1,1.64,2.33,4.80,2.81,1.40
458,1,1.18,3.83,2.33,2.81,3.48
459,1,3.11,2.23,2.59,2.07,1.64
460,0,2.03,1.64,0.52,1.98,1.96
461,0,2.78,4.51,2.86,5.25,1.64
462,1,2.34,1.64,2.63,2.23,1.91
463,0,1.41,1.64,1.46,3.23,1.93
464,0,2.69,1.64,2.06,1.98,3.04
465,0,3.49,1.64,2.47,2.65,1.90
466,1,1.50,1.64,2.89,2.40,2.26
467,1,1.32,1.64,2.39,2.20,3.08
468,0,3.81,1.64,3.29,3.71,1.56
469,0,2.44,1.64,2.21,2.34,3.03
470,1,1.21,2.65,2.21,3.49,1.64
471,1,1.86,3.91,2.69,3.02,1.64
472,0,1.99,4.29,1.60,1.64,2.34
473,0,2.02,1.78,2.70,1.64,2.46
474,0,1.28,3.72,2.87,1.64,1.87
475,1,2.59,1.64,1.96,2.46,2.17
476,1,1.84,2.48,2.32,1.49,1.64
477,0,2.70,1.64,3.14,1.97,2.09
478,0,2.18,1.64,2.04,2.20,2.85
479,1,2.50,3.28,1.82,3.32,2.96
480,0,2.08,2.35,1.69,3.32,2.96
481,0,2.51,1.89,2.06,3.32,2.96
482,1,2.53,2.19,4.27,3.32,2.96
483,1,2.12,2.07,2.29,3.32,2.96
484,1,2.31,2.42,2.61,3.32,2.96
485,0,3.52,2.18,2.34,2.96,3.32
486,0,2.25,3.06,2.29,3.32,2.96
487,1,2.72,1.88,2.41,3.32,2.96
488,1,1.95,2.02,1.65,3.32,2.96
489,0,2.88,2.29,1.65,3.32,2.96
490,1,2.56,2.75,2.59,3.32,2.96
491,1,1.94,4.16,2.58,3.32,2.96
492,1,1.72,2.59,3.19,3.32,2.96
493,0,2.07,2.48,3.53,3.32,2.96
494,1,2.97,1.51,2.57,3.32,2.96
495,0,2.36,4.20,1.99,3.32,2.96
496,1,3.15,2.03,1.30,3.32,2.96
497,0,1.68,2.19,3.92,3.32,2.96
498,1,2.19,2.07,2.85,3.32,2.96
499,0,2.94,3.41,3.63,1.86,1.85
500,0,2.03,1.85,2.50,2.93,2.92
501,0,1.53,1.85,2.07,2.53,2.49
502,0,2.29,1.85,2.51,2.35,2.08
503,1,1.75,1.85,1.91,2.77,2.32
504,0,2.28,1.85,1.61,3.18,1.46
505,0,2.03,1.85,2.75,2.14,2.14
506,0,2.19,1.85,2.37,2.28,2.29
507,0,2.05,1.85,1.66,2.30,2.23
508,0,2.47,1.85,1.66,2.45,2.61
509,0,2.98,1.85,1.66,1.94,2.56
510,0,1.71,1.85,1.66,2.50,2.70
511,0,2.28,1.85,3.63,2.33,3.35
512,0,1.68,1.85,2.00,1.86,3.50
513,0,0.95,1.85,2.45,1.26,3.94
514,1,1.92,1.85,2.38,2.31,3.94
515,1,2.12,1.85,1.60,2.97,3.94
516,1,2.12,1.85,3.41,2.90,2.06
517,1,3.78,1.85,1.81,3.62,2.55
518,1,1.99,1.85,2.93,1.50,2.13
519,0,0.89,0.60,1.66,1.86,1.50
520,0,4.38,2.46,2.78,1.86,1.79
521,1,1.86,1.66,1.78,1.92,16.43
522,0,2.32,1.33,1.51,1.86,2.57
523,1,2.58,1.86,1.98,1.86,2.71
524,0,2.07,1.96,2.69,2.27,1.86
525,0,1.66,2.82,3.10,1.86,2.51
526,0,1.17,3.51,1.24,1.86,2.67
527,0,2.48,1.94,2.14,1.86,2.50
528,0,2.64,2.21,2.37,1.86,2.31
529,0,1.10,2.60,6.55,1.86,1.83
530,1,3.01,2.46,1.80,1.86,2.28
531,0,2.29,1.78,2.33,1.86,2.61
532,0,1.86,1.15,2.17,1.86,2.42
533,0,0.57,1.85,2.00,1.86,1.94
534,1,2.70,3.57,2.48,1.86,3.00
535,0,2.02,1.66,1.12,1.86,1.60
536,1,2.05,1.94,2.50,1.86,4.34
537,1,1.59,1.57,3.70,1.86,2.82
538,0,1.36,2.85,2.90,1.86,1.58
539,1,3.21,2.57,3.46,2.26,2.08
540,1,2.16,1.47,3.46,2.49,2.04
541,0,3.46,2.78,2.07,1.18,1.51
542,1,2.10,3.65,3.46,2.26,2.78
543,0,3.46,2.78,2.43,2.09,1.12
544,0,2.17,2.78,3.46,1.26,2.92
545,0,1.77,2.78,3.46,2.62,2.90
546,1,3.46,2.78,2.65,2.23,2.67
547,1,1.97,1.33,2.28,3.25,3.46
548,1,1.53,1.76,2.82,3.25,3.46
549,0,2.17,1.97,2.62,3.25,3.46
550,0,3.46,2.76,2.46,2.06,2.78
551,1,3.46,2.55,2.99,4.75,2.78
552,1,3.46,2.60,2.78,2.93,2.00
553,1,3.46,2.78,2.85,1.38,1.94
554,1,3.46,2.27,2.47,2.58,2.78
555,0,3.46,2.78,2.75,4.76,1.82
556,1,3.46,2.84,2.78,2.24,2.61
557,0,3.13,2.37,1.70,3.25,3.46
558,1,3.46,3.06,2.78,3.59,2.41
559,0,2.58,2.49,1.34,2.58,2.96
560,1,1.34,2.84,2.65,2.15,1.84
561,0,1.38,1.34,2.63,1.96,1.34
562,0,1.34,1.62,2.47,2.88,2.46
563,1,1.13,1.34,3.00,3.53,1.62
564,1,1.34,2.75,2.55,1.85,1.33
565,1,2.70,1.34,3.56,1.11,2.60
566,0,3.64,1.34,5.20,1.30,1.87
567,1,1.61,1.34,1.93,3.14,3.10
568,1,1.34,1.81,1.60,4.28,2.32
569,0,3.83,1.34,0.42,1.64,3.29
570,0,1.14,1.21,1.34,1.60,2.89
571,1,1.53,1.34,4.35,3.04,2.22
572,0,1.28,1.34,1.17,1.32,2.05
573,0,3.00,2.23,1.34,1.84,2.32
574,1,1.64,2.61,1.34,3.93,2.26
575,1,2.71,2.78,1.34,1.98,3.06
576,0,1.48,1.34,0.73,1.90,2.61
577,1,4.20,1.99,1.65,3.15,1.93
578,1,1.97,2.00,3.55,3.15,1.93
579,1,2.04,1.98,1.65,3.15,1.93
