,gameResult,oChamp1,oChamp2,oChamp3,oChamp4,oChamp5,eChamp1,eChamp2,eChamp3,eChamp4,eChamp5
41,1,Dr. Mundo,Jarvan IV,Zed,Miss Fortune,Morgana,Ornn,Jax,Fiddlesticks,Aphelios,Soraka
42,1,Teemo,Morgana,Xerath,Caitlyn,Brand,Wukong,Elise,Lucian,Ashe,Sona
43,0,Irelia,Nunu & Willump,Heimerdinger,Kai'Sa,Blitzcrank,Mordekaiser,Lee Sin,Zed,Ezreal,Xerath
44,0,Darius,Shyvana,Orianna,Ezreal,Sona,Garen,Shen,Fizz,Jhin,Soraka
45,1,Wukong,Graves,Tristana,Ashe,Lee Sin,Garen,Jax,Pantheon,Aphelios,Morgana
46,0,Caitlyn,Hecarim,Malphite,Ashe,Singed,Nasus,Lee Sin,Jayce,Lux,Miss Fortune
47,0,Ornn,Trundle,Mordekaiser,Miss Fortune,Veigar,Jhin,Hecarim,Talon,Varus,Morgana
48,1,Ornn,Master Yi,LeBlanc,Jinx,Pyke,Aatrox,Warwick,Mordekaiser,Ezreal,Yuumi
49,1,Fiora,Malphite,Master Yi,Varus,Leona,Maokai,Zac,Mordekaiser,Lucian,Brand
50,0,Malphite,Fiddlesticks,Zed,Sivir,Yuumi,Shen,Lee Sin,Yasuo,Caitlyn,Morgana
51,1,Darius,Lee Sin,Ahri,Varus,Nautilus,Quinn,Shyvana,Fizz,Ziggs,Senna
52,1,Gnar,Amumu,Veigar,Ezreal,Leona,Vladimir,Master Yi,Zed,Miss Fortune,Lux
53,0,Teemo,Rammus,Malphite,Ashe,Yuumi,Sett,Shyvana,Twisted Fate,Kai'Sa,Zac
54,1,Mordekaiser,Master Yi,Zed,Xayah,Sona,Aatrox,Nunu & Willump,Diana,Ezreal,Yuumi
55,0,Malphite,Ekko,Galio,Varus,Pyke,Kled,Nunu & Willump,Lucian,Caitlyn,Thresh
56,0,Mordekaiser,Diana,Galio,Caitlyn,Janna,Renekton,Shyvana,Irelia,Sivir,Morgana
57,1,Malphite,Evelynn,Galio,Caitlyn,Pyke,Yasuo,Dr. Mundo,Irelia,Ezreal,Alistar
58,0,Caitlyn,Evelynn,Pantheon,Xayah,Blitzcrank,Illaoi,Zac,Zed,Miss Fortune,Nautilus
59,0,Dr. Mundo,Zac,Wukong,Ezreal,Sona,Shen,Maokai,Mordekaiser,Miss Fortune,Morgana
60,1,Vladimir,Rammus,Pantheon,Vayne,Morgana,Darius,Olaf,Orianna,Lucian,Pyke
61,0,Twisted Fate,Trundle,Pantheon,Ashe,Shaco,Maokai,Sylas,Fizz,Vayne,Yuumi
62,1,Fiora,Sylas,Anivia,Ashe,Yuumi,Camille,Teemo,Irelia,Varus,Neeko
63,0,Garen,Zac,Yasuo,Jinx,Morgana,Ornn,Shyvana,Ahri,Vayne,Pyke
64,1,Nautilus,Nunu & Willump,Xerath,Caitlyn,Blitzcrank,Darius,Volibear,Sylas,Ezreal,Pyke
65,0,Yasuo,Zac,Miss Fortune,Ashe,Galio,Wukong,Warwick,Annie,Vayne,Blitzcrank
66,1,Kled,Warwick,Diana,Vayne,Yuumi,Twisted Fate,Trundle,Zoe,Ezreal,Thresh
67,0,Renekton,Shaco,Ahri,Lucian,Leona,Garen,Kindred,LeBlanc,Miss Fortune,Lux
68,1,Garen,Master Yi,Mordekaiser,Caitlyn,Veigar,Nasus,Kha'Zix,Sylas,Vayne,Sona
69,0,Illaoi,Olaf,LeBlanc,Xayah,Alistar,Renekton,Nidalee,Galio,Ezreal,Nautilus
70,1,Shen,Udyr,Garen,Jinx,Lux,Fiora,Sejuani,Yasuo,Vayne,Blitzcrank
71,0,Ornn,Master Yi,Kassadin,Lucian,Braum,Irelia,Warwick,Qiyana,Varus,Kalista
72,0,Teemo,Graves,Illaoi,Caitlyn,Yuumi,Fiora,Trundle,Twisted Fate,Lucian,Morgana
73,1,Urgot,Shyvana,Irelia,Vayne,Ezreal,Vladimir,Garen,Kassadin,Kai'Sa,Swain
74,1,Mordekaiser,Zac,Irelia,Lucian,Sett,Malphite,Trundle,Yasuo,Varus,Blitzcrank
75,1,Ornn,Trundle,Mordekaiser,Caitlyn,Senna,Brand,Sylas,Ryze,Jhin,Leona
76,1,Fiddlesticks,Zac,Talon,Vayne,Lulu,Renekton,Ekko,Galio,Varus,Brand
77,0,Aatrox,Fiddlesticks,Malzahar,Kai'Sa,Zoe,Garen,Evelynn,Syndra,Lucian,Yuumi
78,1,Mordekaiser,Master Yi,Fizz,Varus,Sett,Heimerdinger,Dr. Mundo,Qiyana,Aphelios,Blitzcrank
79,1,Garen,Shyvana,Yasuo,Varus,Malphite,Camille,Evelynn,Zed,Ezreal,Blitzcrank
80,1,Camille,Shaco,Twisted Fate,Xayah,Swain,Aatrox,Ekko,Master Yi,Kai'Sa,Lux
81,1,Darius,Kayn,Sylas,Jhin,Ezreal,Master Yi,Nasus,Ekko,Kai'Sa,Pyke
82,1,Shen,Graves,Ekko,Ashe,Blitzcrank,Fiora,Gragas,Qiyana,Vayne,Zac
83,0,Illaoi,Master Yi,Viktor,Ezreal,Malphite,Darius,Kayn,Zoe,Ashe,Morgana
84,0,Volibear,Zac,Vladimir,Jhin,Lulu,Illaoi,Master Yi,Irelia,Jinx,Thresh
85,1,Garen,Zac,Katarina,Vayne,Taric,Akali,Xin Zhao,Yasuo,Ezreal,Blitzcrank
86,0,Sylas,Shaco,Sett,Miss Fortune,Teemo,Rumble,Jax,Mordekaiser,Varus,Blitzcrank
87,1,Malphite,Ekko,Vladimir,Ashe,Blitzcrank,Lux,Graves,Yorick,Ezreal,Nami
88,1,Renekton,Fiddlesticks,Neeko,Jinx,Leona,Maokai,Sion,Pyke,Aphelios,Bard
89,1,Garen,Shen,Diana,Ezreal,Lux,Cho'Gath,Rammus,LeBlanc,Jhin,Varus
90,1,Maokai,Zac,Lux,Aphelios,Blitzcrank,Irelia,Riven,Katarina,Jinx,Braum
91,1,Lucian,Ivern,Poppy,Caitlyn,Blitzcrank,Aphelios,Xin Zhao,Irelia,Vayne,Galio
92,1,Darius,Sylas,Galio,Kai'Sa,Blitzcrank,Akali,Master Yi,Veigar,Ezreal,Rakan
93,1,Lucian,Ekko,Talon,Ashe,Blitzcrank,Gangplank,Vi,Yasuo,Miss Fortune,Morgana
94,0,Renekton,Nocturne,Katarina,Kai'Sa,Pyke,Leona,Ekko,Nautilus,Miss Fortune,Nunu & Willump
95,0,Renekton,Lee Sin,Ahri,Caitlyn,Thresh,Ornn,Kayn,Pyke,Vayne,Blitzcrank
96,0,Aatrox,Elise,Fizz,Kai'Sa,Nami,Kalista,Jarvan IV,Blitzcrank,Aphelios,Pyke
97,1,Sett,Ekko,Talon,Caitlyn,Yuumi,Darius,Dr. Mundo,Irelia,Ashe,Gragas
98,1,Mordekaiser,Lee Sin,Malphite,Aphelios,Pyke,Garen,Ekko,Yasuo,Ezreal,Lulu
99,1,Fiora,Evelynn,Diana,Ashe,Thresh,Wukong,Jax,Kalista,Jinx,Morgana
100,1,Riven,Ekko,Katarina,Ezreal,Morgana,Garen,Evelynn,Akali,Tristana,Xerath
101,0,Vladimir,Ekko,Katarina,Caitlyn,Blitzcrank,Nasus,Volibear,Ryze,Aphelios,Senna
102,1,Fiddlesticks,Pantheon,Garen,Ezreal,Yuumi,Mordekaiser,Ekko,Qiyana,Kai'Sa,Nautilus
103,0,Mordekaiser,Ekko,Zed,Miss Fortune,Senna,Quinn,Nidalee,Ahri,Varus,Thresh
104,1,Fiora,Ekko,LeBlanc,Jinx,Yuumi,Shyvana,Kindred,Syndra,Caitlyn,Leona
105,0,Ornn,Ekko,Nocturne,Caitlyn,Maokai,Irelia,Elise,Sett,Jhin,Teemo
106,0,Irelia,Ekko,Brand,Ezreal,Lux,Aatrox,Lee Sin,Katarina,Tristana,Senna
107,1,Olaf,Ekko,LeBlanc,Aphelios,Neeko,Mordekaiser,Lee Sin,Talon,Ezreal,Morgana
108,1,Renekton,Elise,Lux,Miss Fortune,Yuumi,Malphite,Lee Sin,Ahri,Ashe,Nunu & Willump
109,1,Kled,Elise,Neeko,Aphelios,Morgana,Vayne,Master Yi,Sylas,Ashe,Ekko
110,1,Darius,Fiddlesticks,Ekko,Miss Fortune,Soraka,Vladimir,Jax,Renekton,Yasuo,Pyke
111,0,Gnar,Tryndamere,Orianna,Miss Fortune,Senna,Ornn,Gragas,Cassiopeia,Lucian,Nautilus
112,0,Ornn,Zac,LeBlanc,Ezreal,Senna,Garen,Lee Sin,Twisted Fate,Kai'Sa,Nautilus
113,1,Garen,Yuumi,LeBlanc,Ezreal,Syndra,Teemo,Ekko,Katarina,Ashe,Morgana
114,1,Jax,Kha'Zix,Yasuo,Ashe,Sona,Pantheon,Ekko,Riven,Lucian,Lux
115,0,Ezreal,Zac,Twisted Fate,Miss Fortune,Alistar,Ekko,Evelynn,Ornn,Varus,Malphite
116,1,Jax,Nocturne,Talon,Varus,Nautilus,Mordekaiser,Rengar,Ekko,Kai'Sa,Senna
117,0,Aatrox,Jax,Sylas,Varus,Nautilus,Yorick,Master Yi,Fizz,Caitlyn,Sett
118,1,Ezreal,Aatrox,Katarina,Jhin,Swain,Fiddlesticks,Zac,Corki,Caitlyn,Morgana
119,1,Maokai,Camille,Renekton,Jhin,Morgana,Kled,Ekko,Yasuo,Ezreal,Senna
120,0,Garen,Karthus,Orianna,Aphelios,Zilean,Yorick,Nidalee,Talon,Lucian,Pyke
121,0,Yorick,Darius,Lulu,Kai'Sa,Yuumi,Nasus,Kayn,Yasuo,Aphelios,Nami
122,0,Kled,Master Yi,Rumble,Ezreal,Galio,Darius,Kayn,Orianna,Miss Fortune,Yuumi
123,0,Singed,Veigar,Evelynn,Ashe,Irelia,Garen,Lee Sin,Yasuo,Caitlyn,Morgana
124,0,Nautilus,Nunu & Willump,Xerath,Caitlyn,Blitzcrank,Darius,Volibear,Sylas,Ezreal,Pyke
125,0,Vayne,Amumu,Zed,Caitlyn,Ziggs,Garen,Volibear,Fizz,Ezreal,Janna
126,0,Riven,Zac,Vladimir,Miss Fortune,Shaco,Volibear,Lee Sin,LeBlanc,Kai'Sa,Nami
127,1,Ornn,Lee Sin,LeBlanc,Miss Fortune,Thresh,Malphite,Sett,Zed,Jhin,Blitzcrank
128,0,Akali,Graves,Neeko,Caitlyn,Blitzcrank,Renekton,Talon,Cassiopeia,Jinx,Lux
129,1,Kled,Lee Sin,Orianna,Miss Fortune,Morgana,Sett,Master Yi,Irelia,Tristana,Blitzcrank
130,1,Ahri,Ekko,Nocturne,Xayah,Lux,Kalista,Master Yi,Fizz,Lucian,Braum
131,1,Zac,Tryndamere,Twisted Fate,Sivir,Xerath,Sett,Graves,Talon,Kai'Sa,Thresh
132,0,Ornn,Sylas,Kassadin,Lucian,Volibear,Fiora,Shaco,Vladimir,Aphelios,Veigar
133,0,Garen,Jax,Galio,Heimerdinger,Swain,Mordekaiser,Darius,Yasuo,Ezreal,Brand
134,0,Garen,Master Yi,Sylas,Yasuo,Alistar,Vladimir,Evelynn,Renekton,Vayne,Thresh
135,0,Yasuo,Kayn,Garen,Ashe,Lux,Renekton,Lee Sin,Sett,Kai'Sa,Taric
136,0,Irelia,Graves,Akali,Kog'Maw,Yuumi,Zed,Lee Sin,Kled,Quinn,Senna
137,0,Irelia,Sylas,Ahri,Ezreal,Blitzcrank,Pantheon,Xin Zhao,Teemo,Maokai,Senna
138,0,Garen,Jax,Akali,Ezreal,Swain,Tryndamere,Ekko,Ryze,Lucian,Thresh
139,1,Yorick,Olaf,Talon,Yasuo,Sett,Akali,Vi,Lucian,Varus,Lux
140,1,Aatrox,Jax,Yasuo,Vayne,Lux,Sett,Ekko,LeBlanc,Ashe,Thresh
141,0,Varus,Xin Zhao,Jax,Caitlyn,Soraka,Fiddlesticks,Master Yi,Neeko,Ezreal,Blitzcrank
142,1,Master Yi,Rek'Sai,Syndra,Kai'Sa,Kayle,Camille,Lee Sin,Lucian,Ezreal,Pyke
143,0,Sett,Evelynn,Pantheon,Jhin,Malphite,Quinn,Kayn,Twisted Fate,Miss Fortune,Leona
144,1,Yasuo,Shyvana,Shaco,Tristana,Taric,Jayce,Master Yi,Teemo,Ezreal,Swain
145,0,Nautilus,Nunu & Willump,Xerath,Caitlyn,Blitzcrank,Darius,Volibear,Sylas,Ezreal,Pyke
146,1,Renekton,Lee Sin,Galio,Ezreal,Thresh,Nasus,Trundle,Lux,Miss Fortune,Sett
147,0,Sett,Rek'Sai,Ahri,Jhin,Yuumi,Volibear,Sylas,Zoe,Ezreal,Swain
148,1,Fiora,Master Yi,Heimerdinger,Swain,Pyke,Ornn,Kayn,Nautilus,Ezreal,Morgana
149,1,Jax,Kayn,Karma,Kai'Sa,Leona,Kayle,Shyvana,Karthus,Yasuo,Yuumi
150,0,Garen,Lee Sin,Renekton,Lucian,Sett,Poppy,Kindred,Akali,Kai'Sa,Morgana
151,1,Garen,Kindred,Sylas,Varus,Leona,Viktor,Xin Zhao,Ornn,Kalista,Thresh
152,1,Rengar,Karthus,Syndra,Caitlyn,Pyke,Mordekaiser,Kindred,Ekko,Ezreal,Blitzcrank
153,1,Zac,Hecarim,Fizz,Ezreal,Swain,Renekton,Jarvan IV,Sylas,Kai'Sa,Senna
154,1,Garen,Lee Sin,Talon,Ashe,Swain,Teemo,Ekko,Ryze,Lucian,Lux
155,1,Aatrox,Graves,Akali,Miss Fortune,Leona,Renekton,Ekko,Yasuo,Ezreal,Yuumi
156,1,Garen,Hecarim,Yasuo,Caitlyn,Xerath,Vayne,Kindred,Jayce,Ezreal,Lux
157,0,Vayne,Kha'Zix,Pantheon,Varus,Lux,Olaf,Thresh,Kassadin,Caitlyn,Miss Fortune
158,1,Renekton,Kayn,Corki,Lucian,Shaco,Ezreal,Amumu,Zed,Caitlyn,Soraka
159,1,Teemo,Sejuani,Vel'Koz,Caitlyn,Thresh,Neeko,Lee Sin,Zoe,Varus,Blitzcrank
160,0,Garen,Sylas,Zed,Lucian,Xerath,Ornn,Nidalee,Pantheon,Caitlyn,Thresh
161,0,Nautilus,Nunu & Willump,Xerath,Caitlyn,Blitzcrank,Darius,Volibear,Sylas,Ezreal,Pyke
162,1,Ornn,Ekko,Nocturne,Ashe,Zyra,Teemo,Nunu & Willump,Katarina,Lucian,Lux
163,0,Sett,Master Yi,Orianna,Vayne,Zilean,Renekton,Volibear,Syndra,Caitlyn,Garen
164,0,Lucian,Xin Zhao,Lux,Vayne,Yuumi,Illaoi,Graves,Zoe,Miss Fortune,Morgana
165,1,Jayce,Kayn,Katarina,Caitlyn,Nami,Jax,Zac,LeBlanc,Ezreal,Lulu
166,0,Malphite,Shaco,Galio,Vayne,Morgana,Renekton,Lee Sin,Yasuo,Ezreal,Brand
167,0,Shaco,Jarvan IV,Akali,Ezreal,Lux,Aatrox,Ekko,Kassadin,Caitlyn,Thresh
168,0,Aatrox,Warwick,Katarina,Miss Fortune,Lux,Sett,Ekko,Maokai,Kalista,Sona
169,1,Garen,Elise,Anivia,Caitlyn,Karma,Malphite,Shyvana,Irelia,Ezreal,Alistar
170,1,Pantheon,Zac,Darius,Caitlyn,Yuumi,Kayle,Gragas,Yasuo,Zyra,Zoe
171,1,Mordekaiser,Lee Sin,Pantheon,Ezreal,Yuumi,Volibear,Nocturne,Fizz,Kai'Sa,Soraka
172,0,Sett,Kayle,Irelia,Caitlyn,Blitzcrank,Dr. Mundo,Udyr,Ekko,Ashe,Leona
173,0,Vladimir,Vi,Ornn,Kai'Sa,Morgana,Garen,Ekko,Sylas,Xayah,Leona
174,1,Wukong,Zac,Lux,Ezreal,Soraka,Aatrox,Kayn,Vladimir,Caitlyn,Olaf
175,1,Ornn,Shyvana,Sett,Ezreal,Soraka,Nasus,Nidalee,Mordekaiser,Caitlyn,Thresh
176,1,Riven,Lee Sin,Fizz,Caitlyn,Brand,Wukong,Sylas,Veigar,Syndra,Sett
177,0,Quinn,Zac,Vladimir,Caitlyn,Blitzcrank,Teemo,Graves,Katarina,Kai'Sa,Thresh
178,0,Maokai,Dr. Mundo,Diana,Yasuo,Pyke,Aatrox,Shen,Sylas,Ezreal,Zilean
179,1,Akali,Master Yi,Wukong,Lucian,Xerath,Talon,Graves,Maokai,Kai'Sa,Zyra
180,1,Malphite,Trundle,LeBlanc,Ezreal,Galio,Rengar,Rek'Sai,Twisted Fate,Kai'Sa,Nami
181,1,Rengar,Master Yi,Pantheon,Ezreal,Galio,Gangplank,Kha'Zix,Katarina,Ashe,Alistar
182,0,Renekton,Lee Sin,Katarina,Ezreal,Nautilus,Kennen,Shyvana,Twisted Fate,Twitch,Lulu
183,1,Gangplank,Graves,Renekton,Ezreal,Brand,Rengar,Kindred,Twisted Fate,Jhin,Xerath
184,1,Jax,Lee Sin,Viktor,Jhin,Nautilus,Katarina,Nunu & Willump,Vladimir,Ezreal,Maokai
185,1,Wukong,Jarvan IV,Yasuo,Ezreal,Lux,Vladimir,Nidalee,Talon,Jinx,Thresh
186,0,Teemo,Trundle,Syndra,Varus,Blitzcrank,Dr. Mundo,Warwick,Vel'Koz,Ezreal,Xerath
187,0,Camille,Kayn,Ekko,Kai'Sa,Fiddlesticks,Riven,Lee Sin,Kassadin,Miss Fortune,Zyra
188,0,Kayle,Master Yi,Ahri,Sivir,Zilean,Jax,Pantheon,Fizz,Draven,Nautilus
189,1,Sylas,Jax,Malphite,Xayah,Pantheon,Poppy,Lee Sin,Talon,Caitlyn,Zilean
190,0,Malphite,Rek'Sai,Akali,Ezreal,Fiddlesticks,Yorick,Hecarim,Sylas,Ashe,Zilean
191,1,Sett,Shaco,Malphite,Varus,Fiddlesticks,Maokai,Aatrox,Renekton,Ashe,Lux
192,1,Jax,Master Yi,Ryze,Ezreal,Swain,Mordekaiser,Ivern,Vladimir,Vayne,Blitzcrank
193,1,Darius,Shaco,Sylas,Varus,Rakan,Viktor,Lee Sin,Ahri,Jhin,Swain
194,0,Jayce,Lee Sin,Zed,Caitlyn,Xerath,Shyvana,Sett,Zoe,Ashe,Lulu
195,1,Illaoi,Jarvan IV,Zoe,Ziggs,Xerath,Maokai,Lee Sin,Azir,Ezreal,Senna
196,1,Renekton,Lee Sin,Ekko,Kai'Sa,Pyke,Irelia,Kayn,Ahri,Ezreal,Malphite
197,0,Dr. Mundo,Udyr,Akali,Ashe,Alistar,Kennen,Maokai,Vladimir,Varus,Pyke
198,1,Shen,Rammus,Vladimir,Varus,Malphite,Ornn,Graves,Pantheon,Kalista,Thresh
199,0,Ryze,Jax,Ornn,Ashe,Ziggs,Kayle,Master Yi,Lux,Draven,Rakan
200,0,Garen,Graves,Yasuo,Ezreal,Nunu & Willump,Vayne,Master Yi,Akali,Lucian,Yuumi
201,1,Vayne,Master Yi,Ahri,Tristana,Yuumi,Renekton,Lee Sin,LeBlanc,Kai'Sa,Pyke
202,0,Dr. Mundo,Elise,Malphite,Caitlyn,Pyke,Garen,Kayn,Lucian,Jhin,Swain
203,0,Dr. Mundo,Kayn,Master Yi,Ashe,Taric,Irelia,Nocturne,Brand,Aphelios,Nami
204,1,Wukong,Pantheon,Yasuo,Draven,Galio,Maokai,Master Yi,Malphite,Miss Fortune,Morgana
205,0,Jax,Fiddlesticks,Morgana,Ezreal,Thresh,Garen,Master Yi,Sylas,Cassiopeia,Senna
206,0,Dr. Mundo,Master Yi,Sylas,Ashe,Pantheon,Yasuo,Wukong,Zed,Vayne,Thresh
207,1,Garen,Master Yi,Malphite,Caitlyn,Ezreal,Dr. Mundo,Evelynn,Talon,Jinx,Lulu
208,1,Dr. Mundo,Master Yi,Akali,Jinx,Leona,Rumble,Nidalee,Pyke,Jhin,Malphite
209,1,Dr. Mundo,Jarvan IV,Zed,Miss Fortune,Morgana,Ornn,Jax,Fiddlesticks,Aphelios,Soraka
210,1,Renekton,Volibear,Dr. Mundo,Miss Fortune,Nautilus,Aatrox,Kayn,Yuumi,Ashe,Pyke
211,1,Akali,Karthus,Ahri,Jinx,Nidalee,Dr. Mundo,Amumu,Veigar,Ashe,Morgana
212,0,Maokai,Master Yi,Vladimir,Caitlyn,Yuumi,Dr. Mundo,Graves,Fizz,Kai'Sa,Jarvan IV
213,0,Dr. Mundo,Master Yi,Ahri,Kai'Sa,Thresh,Renekton,Olaf,Yasuo,Ezreal,Pyke
214,0,Sett,Fiddlesticks,Sylas,Ezreal,Alistar,Dr. Mundo,Master Yi,Yasuo,Caitlyn,Malphite
215,0,Fiddlesticks,Master Yi,Talon,Lucian,Ashe,Sett,Wukong,LeBlanc,Vayne,Lux
216,1,Yasuo,Trundle,Dr. Mundo,Ashe,Anivia,Mordekaiser,Master Yi,Ahri,Tristana,Yuumi
217,0,Vladimir,Ekko,Lucian,Aphelios,Pyke,Tryndamere,Rengar,Ahri,Ezreal,Nautilus
218,1,Riven,Nidalee,Sylas,Kai'Sa,Karma,Tryndamere,Xin Zhao,Orianna,Lucian,Lulu
219,1,Tryndamere,Kayn,Twisted Fate,Kai'Sa,Senna,Neeko,Hecarim,Galio,Varus,Sett
220,1,Jax,Ekko,Kassadin,Ashe,Pyke,Tryndamere,Lee Sin,Vladimir,Vayne,Sett
221,0,Urgot,Jarvan IV,Heimerdinger,Miss Fortune,Blitzcrank,Diana,Zac,Yasuo,Ezreal,Thresh
222,0,Darius,Master Yi,Aurelion Sol,Ezreal,Blitzcrank,Garen,Dr. Mundo,Rumble,Caitlyn,Yuumi
223,1,Kalista,Lee Sin,Sylas,Kog'Maw,Lulu,Warwick,Elise,Akali,Ashe,Morgana
224,1,Kennen,Zac,Ekko,Ezreal,Senna,Garen,Kayn,Xerath,Vayne,Yuumi
225,1,Dr. Mundo,Jarvan IV,Zed,Miss Fortune,Morgana,Ornn,Jax,Fiddlesticks,Aphelios,Soraka
226,0,Quinn,Shaco,Nocturne,Miss Fortune,Soraka,Maokai,Master Yi,Irelia,Ezreal,Ashe
227,1,Quinn,Lee Sin,Malzahar,Varus,Lulu,Kayle,Poppy,Orianna,Tristana,Thresh
228,0,Garen,Lee Sin,LeBlanc,Varus,Maokai,Mordekaiser,Olaf,Heimerdinger,Vayne,Karma
229,0,Jayce,Shyvana,Ahri,Aphelios,Miss Fortune,Darius,Lee Sin,Sylas,Vayne,Senna
230,1,Kled,Master Yi,LeBlanc,Draven,Yuumi,Akali,Elise,Tryndamere,Ezreal,Blitzcrank
231,0,Darius,Amumu,Galio,Lucian,Morgana,Dr. Mundo,Wukong,Diana,Kai'Sa,Sejuani
232,0,Maokai,Lee Sin,Viktor,Ezreal,Zilean,Tryndamere,Ekko,Nocturne,Kalista,Thresh
233,0,Wukong,Jax,Zilean,Jhin,Lux,Darius,Master Yi,Qiyana,Ezreal,Senna
234,1,Mordekaiser,Lee Sin,Lucian,Kai'Sa,Nautilus,Darius,Nunu & Willump,Yasuo,Ezreal,Morgana
